sku,barcode,price,active,quantity
7730366730237,7730366730237,83.6,1,0
7730366730268,7730366730268,83.6,1,0
7730366730251,7730366730251,83.6,1,0
7730366730244,7730366730244,83.6,1,0
7730366730947,7730366730947,380.6,1,2
7730366732026,7730366732026,213.4,1,0
7730366732033,7730366732033,213.4,1,0
7730366732019,7730366732019,213.4,1,0
7730366732040,7730366732040,213.4,1,0
7730366730367,7730366730367,467.5,1,2
7730366730992,7730366730992,361.9,1,0
7730383730227,7730383730227,361.9,1,0
7730366738622,7730366738622,590.7,1,0
7730366738615,7730366738615,724.9,1,0
7730366738608,7730366738608,646.8,1,0
7730366738004,7730366738004,383.9,1,3
7730366730756,7730366730756,420.2,1,0
7730366730718,7730366730718,436.7,1,0
7730366730473,7730366730473,341,1,0
7730366730398,7730366730398,341,1,3
7730366730480,7730366730480,358.6,1,2
7730366731128,7730366731128,913,1,0
7730366731111,7730366731111,913,1,0
7730366731135,7730366731135,913,1,0
7730366731142,7730366731142,913,1,0
7730366731029,7730366731029,543.4,1,0
7730366731012,7730366731012,543.4,1,0
7730366731036,7730366731036,543.4,1,0
7730366731043,7730366731043,543.4,1,0
7730366730817,7730366730817,562.1,1,0
40689,7730366730831,811.58,1,0
7730366730862,7730366730862,1032.9,1,0
7730366730879,7730366730879,1268.3,1,0
62488,7730366730886,894.047,1,0
7350012553890,7350012553890,1027.4,1,0
7330934081008,7330934081008,850.3,1,0
7501033957499,7501033957499,1826,1,0
7501033958700,7501033958700,3644.3,1,0
7501033958045,7501033958045,5890.5,1,2
8002660028976,8002660028976,3050.3,1,0
7790440699218,7790440699218,1928.3,1,0
7896255702881,7896255702881,2396.9,1,1
7790440429921,7790440429921,2019.6,1,5
7702870010501,7702870010501,929.5,1,7
7790440621400,7790440621400,1457.5,1,0
7790440621424,7790440621424,2877.6,1,0
7790440621509,7790440621509,2180.2,1,2
7790440621523,7790440621523,4141.5,1,0
7501033958656,7501033958656,1087.9,1,1
7501033958663,7501033958663,1441,1,1
7790440684115,7790440684115,1482.8,1,0
7730903753101,7730903753101,127.6,1,0
7730903752975,7730903752975,337.7,1,0
7500435147507,7500435147507,573.1,1,0
7500435147569,7500435147569,573.1,1,0
7500435147576,7500435147576,573.1,1,0
7500435147583,7500435147583,573.1,1,0
7500435142564,7500435142564,361.9,1,1
7500435142557,7500435142557,573.1,1,0
7500435020084,7500435020084,556.6,1,0
7500435019873,7500435019873,361.9,1,0
7500435019880,7500435019880,573.1,1,0
7500435019484,7500435019484,361.9,1,0
7500435019491,7500435019491,573.1,1,0
7500435019705,7500435019705,361.9,1,0
7500435019712,7500435019712,573.1,1,0
7500435138017,7500435138017,361.9,1,0
7500435138000,7500435138000,573.1,1,0
7500435019811,7500435019811,361.9,1,0
7590002008904,7590002008904,341,1,0
7500435019828,7500435019828,573.1,1,1
190679000187,190679000187,608.3,1,0
190679000118,190679000118,608.3,1,0
190679000163,190679000163,608.3,1,1
190679000088,190679000088,608.3,1,0
190679000019,190679000019,608.3,1,0
190679000064,190679000064,608.3,1,0
7500435145701,7500435145701,539,1,0
7500435145718,7500435145718,539,1,2
7790520991362,7790520991362,669.9,1,0
7500435106412,7500435106412,544.5,1,0
7500435106382,7500435106382,544.5,1,0
7500435155939,7500435155939,349.8,1,0
7500435155922,7500435155922,544.5,1,1
7506309840581,7506309840581,544.5,1,0
7501006721294,7501006721294,349.8,1,0
7501006721317,7501006721317,544.5,1,0
7500435115124,7500435115124,786.5,1,0
7501001165321,7501001165321,544.5,1,0
7506195196687,7506195196687,151.8,1,0
7500435155830,7500435155830,349.8,1,0
7500435155847,7500435155847,544.5,1,0
7500435155854,7500435155854,786.5,1,1
7500435114936,7500435114936,786.5,1,0
7506309840000,7506309840000,349.8,1,2
7506309840024,7506309840024,544.5,1,0
7501006721133,7501006721133,544.5,1,0
7500435114912,7500435114912,786.5,1,0
7501001164645,7501001164645,544.5,1,1
7500435155915,7500435155915,496.1,1,0
7506309840628,7506309840628,496.1,1,1
7506309837246,7506309837246,496.1,1,0
7501001170080,7501001170080,496.1,1,1
7500435159494,7500435159494,544.5,1,0
7500435131247,7500435131247,544.5,1,0
7500435126762,7500435126762,786.5,1,0
7500435155908,7500435155908,544.5,1,1
7501006740219,7501006740219,544.5,1,0
7891182991858,7891182991858,123.2,1,0
7891182023115,7891182023115,123.2,1,0
7891182032353,7891182032353,123.2,1,0
7891182810012,7891182810012,123.2,1,0
7891182996341,7891182996341,123.2,1,0
7891182991971,7891182991971,123.2,1,0
7891182013383,7891182013383,123.2,1,0
7891182030915,7891182030915,123.2,1,0
7891182019996,7891182019996,123.2,1,0
7891182810203,7891182810203,123.2,1,0
7891182020336,7891182020336,123.2,1,0
7891182820011,7891182820011,123.2,1,0
7891182014878,7891182014878,123.2,1,3
7891350034073,7891350034073,123.2,1,0
7891182016148,7891182016148,123.2,1,0
7891182032377,7891182032377,123.2,1,0
7891182996495,7891182996495,123.2,1,0
7891182820110,7891182820110,123.2,1,0
7891182020312,7891182020312,123.2,1,0
7891182033541,7891182033541,123.2,1,0
7891182032841,7891182032841,123.2,1,0
7891182050081,7891182050081,123.2,1,0
7891182994088,7891182994088,123.2,1,0
7891182830027,7891182830027,123.2,1,0
7891182830010,7891182830010,123.2,1,0
7891182018630,7891182018630,123.2,1,0
7891182810142,7891182810142,123.2,1,0
7891182820028,7891182820028,123.2,1,0
7891182026918,7891182026918,123.2,1,0
7891182996310,7891182996310,123.2,1,0
7730147500110,7730147500110,195.8,1,0
7730147500127,7730147500127,195.8,1,0
7730147500134,7730147500134,195.8,1,0
7730147500080,7730147500080,212.3,1,0
7730147500097,7730147500097,212.3,1,0
7730147500103,7730147500103,212.3,1,0
7730147500639,7730147500639,147.4,1,0
7730147500646,7730147500646,246.4,1,0
7730287002208,7730287002208,147.4,1,0
7730287002215,7730287002215,246.4,1,0
7730287002222,7730287002222,147.4,1,0
7730287002260,7730287002260,255.2,1,0
7730287002277,7730287002277,147.4,1,0
7730147500660,7730147500660,246.4,1,0
7730906725297,7730906725297,424.6,1,0
7795815050038,7795815050038,159.5,1,0
7795815050052,7795815050052,78.1,1,0
7795815050083,7795815050083,154,1,0
7795815050090,7795815050090,159.5,1,0
7795815050106,7795815050106,154,1,0
7795815050113,7795815050113,154,1,7
7795815050120,7795815050120,159.5,1,0
7795815050151,7795815050151,159.5,1,0
7795815050175,7795815050175,154,1,0
7795815050199,7795815050199,154,1,3
7795815050229,7795815050229,154,1,0
7795815050243,7795815050243,58.3,1,0
7795815050281,7795815050281,154,1,0
7795815050304,7795815050304,154,1,0
7795815050311,7795815050311,154,1,0
7795815050328,7795815050328,154,1,0
7730906720292,7730906720292,427.9,1,0
7730906721299,7730906721299,427.9,1,0
7730906724290,7730906724290,421.3,1,0
7730906720025,7730906720025,134.2,1,0
841058004547,841058004547,463.1,1,0
4891228530143,4891228530143,353.1,1,0
7791014001314,7791014001314,564.3,1,0
7791014090325,7791014090325,158.4,1,3
7791014001772,7791014001772,158.4,1,0
7791014001178,7791014001178,158.4,1,0
7791014003004,7791014003004,754.6,1,2
7791014003011,7791014003011,754.6,1,2
7791014003028,7791014003028,754.6,1,2
7791014001154,7791014001154,158.4,1,6
7791014090592,7791014090592,4130.5,1,0
7791014090332,7791014090332,158.4,1,12
7730482000641,7730482000641,480.7,1,0
7730482000665,7730482000665,875.6,1,3
7730482000290,7730482000290,584.1,1,0
7730482000337,7730482000337,998.8,1,0
7730482000566,7730482000566,640.2,1,6
7730482000603,7730482000603,640.2,1,0
7730482000931,7730482000931,258.5,1,0
7730482000955,7730482000955,426.8,1,3
